,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
0,Coast,Miami,"FL, GA, SC, NC",2006 (All Illegal Immigrants),6032.0,2006 ,All Illegal Immigrants
1,Coast,New Orleans,"LA, AL, MS, FL",2006 (All Illegal Immigrants),3053.0,2006 ,All Illegal Immigrants
2,Coast,Ramey,PR,2006 (All Illegal Immigrants),1436.0,2006 ,All Illegal Immigrants
3,North,Blaine,"WA, OR",2006 (All Illegal Immigrants),811.0,2006 ,All Illegal Immigrants
4,North,Buffalo,"NY, PA",2006 (All Illegal Immigrants),1517.0,2006 ,All Illegal Immigrants
5,North,Detroit,"OH, MI, IN, IL",2006 (All Illegal Immigrants),1281.0,2006 ,All Illegal Immigrants
6,North,Grand Forks,"WI, MN, ND",2006 (All Illegal Immigrants),518.0,2006 ,All Illegal Immigrants
7,North,Havre,MT,2006 (All Illegal Immigrants),568.0,2006 ,All Illegal Immigrants
8,North,Houlton,ME,2006 (All Illegal Immigrants),175.0,2006 ,All Illegal Immigrants
9,North,Spokane,"MT, ID, WA",2006 (All Illegal Immigrants),185.0,2006 ,All Illegal Immigrants
10,North,Swanton,"NH, VT, NY",2006 (All Illegal Immigrants),1544.0,2006 ,All Illegal Immigrants
11,Southwest,Big Bend,TX,2006 (All Illegal Immigrants),7520.0,2006 ,All Illegal Immigrants
12,Southwest,Del Rio,TX,2006 (All Illegal Immigrants),42636.0,2006 ,All Illegal Immigrants
13,Southwest,El Centro,CA,2006 (All Illegal Immigrants),61465.0,2006 ,All Illegal Immigrants
14,Southwest,El Paso,"NM, TX",2006 (All Illegal Immigrants),122256.0,2006 ,All Illegal Immigrants
15,Southwest,Laredo,TX,2006 (All Illegal Immigrants),74840.0,2006 ,All Illegal Immigrants
16,Southwest,Rio Grande Valley,TX,2006 (All Illegal Immigrants),110528.0,2006 ,All Illegal Immigrants
17,Southwest,San Diego,CA,2006 (All Illegal Immigrants),142104.0,2006 ,All Illegal Immigrants
18,Southwest,Tucson,AZ,2006 (All Illegal Immigrants),392074.0,2006 ,All Illegal Immigrants
19,Southwest,Yuma,"CA, AZ",2006 (All Illegal Immigrants),118549.0,2006 ,All Illegal Immigrants
20,Coast,Miami,"FL, GA, SC, NC",2006 (Mexicans Only),1616.0,2006 ,Mexicans Only
21,Coast,New Orleans,"LA, AL, MS, FL",2006 (Mexicans Only),1840.0,2006 ,Mexicans Only
22,Coast,Ramey,PR,2006 (Mexicans Only),2.0,2006 ,Mexicans Only
23,North,Blaine,"WA, OR",2006 (Mexicans Only),485.0,2006 ,Mexicans Only
24,North,Buffalo,"NY, PA",2006 (Mexicans Only),959.0,2006 ,Mexicans Only
25,North,Detroit,"OH, MI, IN, IL",2006 (Mexicans Only),944.0,2006 ,Mexicans Only
26,North,Grand Forks,"WI, MN, ND",2006 (Mexicans Only),383.0,2006 ,Mexicans Only
27,North,Havre,MT,2006 (Mexicans Only),511.0,2006 ,Mexicans Only
28,North,Houlton,ME,2006 (Mexicans Only),58.0,2006 ,Mexicans Only
29,North,Spokane,"MT, ID, WA",2006 (Mexicans Only),108.0,2006 ,Mexicans Only
30,North,Swanton,"NH, VT, NY",2006 (Mexicans Only),341.0,2006 ,Mexicans Only
31,Southwest,Big Bend,TX,2006 (Mexicans Only),6791.0,2006 ,Mexicans Only
32,Southwest,Del Rio,TX,2006 (Mexicans Only),30361.0,2006 ,Mexicans Only
33,Southwest,El Centro,CA,2006 (Mexicans Only),60723.0,2006 ,Mexicans Only
34,Southwest,El Paso,"NM, TX",2006 (Mexicans Only),117532.0,2006 ,Mexicans Only
35,Southwest,Laredo,TX,2006 (Mexicans Only),59146.0,2006 ,Mexicans Only
36,Southwest,Rio Grande Valley,TX,2006 (Mexicans Only),58282.0,2006 ,Mexicans Only
37,Southwest,San Diego,CA,2006 (Mexicans Only),140821.0,2006 ,Mexicans Only
38,Southwest,Tucson,AZ,2006 (Mexicans Only),382610.0,2006 ,Mexicans Only
39,Southwest,Yuma,"CA, AZ",2006 (Mexicans Only),117553.0,2006 ,Mexicans Only
40,Coast,Miami,"FL, GA, SC, NC",2007 (All Illegal Immigrants),7120.0,2007 ,All Illegal Immigrants
41,Coast,New Orleans,"LA, AL, MS, FL",2007 (All Illegal Immigrants),4018.0,2007 ,All Illegal Immigrants
42,Coast,Ramey,PR,2007 (All Illegal Immigrants),548.0,2007 ,All Illegal Immigrants
43,North,Blaine,"WA, OR",2007 (All Illegal Immigrants),749.0,2007 ,All Illegal Immigrants
44,North,Buffalo,"NY, PA",2007 (All Illegal Immigrants),2191.0,2007 ,All Illegal Immigrants
45,North,Detroit,"OH, MI, IN, IL",2007 (All Illegal Immigrants),902.0,2007 ,All Illegal Immigrants
46,North,Grand Forks,"WI, MN, ND",2007 (All Illegal Immigrants),497.0,2007 ,All Illegal Immigrants
47,North,Havre,MT,2007 (All Illegal Immigrants),486.0,2007 ,All Illegal Immigrants
48,North,Houlton,ME,2007 (All Illegal Immigrants),95.0,2007 ,All Illegal Immigrants
49,North,Spokane,"MT, ID, WA",2007 (All Illegal Immigrants),341.0,2007 ,All Illegal Immigrants
50,North,Swanton,"NH, VT, NY",2007 (All Illegal Immigrants),1119.0,2007 ,All Illegal Immigrants
51,Southwest,Big Bend,TX,2007 (All Illegal Immigrants),5536.0,2007 ,All Illegal Immigrants
52,Southwest,Del Rio,TX,2007 (All Illegal Immigrants),22920.0,2007 ,All Illegal Immigrants
53,Southwest,El Centro,CA,2007 (All Illegal Immigrants),55883.0,2007 ,All Illegal Immigrants
54,Southwest,El Paso,"NM, TX",2007 (All Illegal Immigrants),75464.0,2007 ,All Illegal Immigrants
55,Southwest,Laredo,TX,2007 (All Illegal Immigrants),56714.0,2007 ,All Illegal Immigrants
56,Southwest,Rio Grande Valley,TX,2007 (All Illegal Immigrants),73430.0,2007 ,All Illegal Immigrants
57,Southwest,San Diego,CA,2007 (All Illegal Immigrants),152460.0,2007 ,All Illegal Immigrants
58,Southwest,Tucson,AZ,2007 (All Illegal Immigrants),378239.0,2007 ,All Illegal Immigrants
59,Southwest,Yuma,"CA, AZ",2007 (All Illegal Immigrants),37992.0,2007 ,All Illegal Immigrants
60,Coast,Miami,"FL, GA, SC, NC",2007 (Mexicans Only),1612.0,2007 ,Mexicans Only
61,Coast,New Orleans,"LA, AL, MS, FL",2007 (Mexicans Only),2633.0,2007 ,Mexicans Only
62,Coast,Ramey,PR,2007 (Mexicans Only),0.0,2007 ,Mexicans Only
63,North,Blaine,"WA, OR",2007 (Mexicans Only),518.0,2007 ,Mexicans Only
64,North,Buffalo,"NY, PA",2007 (Mexicans Only),1271.0,2007 ,Mexicans Only
65,North,Detroit,"OH, MI, IN, IL",2007 (Mexicans Only),686.0,2007 ,Mexicans Only
66,North,Grand Forks,"WI, MN, ND",2007 (Mexicans Only),334.0,2007 ,Mexicans Only
67,North,Havre,MT,2007 (Mexicans Only),409.0,2007 ,Mexicans Only
68,North,Houlton,ME,2007 (Mexicans Only),17.0,2007 ,Mexicans Only
69,North,Spokane,"MT, ID, WA",2007 (Mexicans Only),290.0,2007 ,Mexicans Only
70,North,Swanton,"NH, VT, NY",2007 (Mexicans Only),284.0,2007 ,Mexicans Only
71,Southwest,Big Bend,TX,2007 (Mexicans Only),5002.0,2007 ,Mexicans Only
72,Southwest,Del Rio,TX,2007 (Mexicans Only),16286.0,2007 ,Mexicans Only
73,Southwest,El Centro,CA,2007 (Mexicans Only),55271.0,2007 ,Mexicans Only
74,Southwest,El Paso,"NM, TX",2007 (Mexicans Only),72293.0,2007 ,Mexicans Only
75,Southwest,Laredo,TX,2007 (Mexicans Only),44831.0,2007 ,Mexicans Only
76,Southwest,Rio Grande Valley,TX,2007 (Mexicans Only),51975.0,2007 ,Mexicans Only
77,Southwest,San Diego,CA,2007 (Mexicans Only),151140.0,2007 ,Mexicans Only
78,Southwest,Tucson,AZ,2007 (Mexicans Only),366456.0,2007 ,Mexicans Only
79,Southwest,Yuma,"CA, AZ",2007 (Mexicans Only),37380.0,2007 ,Mexicans Only
80,Coast,Miami,"FL, GA, SC, NC",2008 (All Illegal Immigrants),6020.0,2008 ,All Illegal Immigrants
81,Coast,New Orleans,"LA, AL, MS, FL",2008 (All Illegal Immigrants),4303.0,2008 ,All Illegal Immigrants
82,Coast,Ramey,PR,2008 (All Illegal Immigrants),572.0,2008 ,All Illegal Immigrants
83,North,Blaine,"WA, OR",2008 (All Illegal Immigrants),954.0,2008 ,All Illegal Immigrants
84,North,Buffalo,"NY, PA",2008 (All Illegal Immigrants),3339.0,2008 ,All Illegal Immigrants
85,North,Detroit,"OH, MI, IN, IL",2008 (All Illegal Immigrants),961.0,2008 ,All Illegal Immigrants
86,North,Grand Forks,"WI, MN, ND",2008 (All Illegal Immigrants),541.0,2008 ,All Illegal Immigrants
87,North,Havre,MT,2008 (All Illegal Immigrants),427.0,2008 ,All Illegal Immigrants
88,North,Houlton,ME,2008 (All Illegal Immigrants),81.0,2008 ,All Illegal Immigrants
89,North,Spokane,"MT, ID, WA",2008 (All Illegal Immigrants),340.0,2008 ,All Illegal Immigrants
90,North,Swanton,"NH, VT, NY",2008 (All Illegal Immigrants),1282.0,2008 ,All Illegal Immigrants
91,Southwest,Big Bend,TX,2008 (All Illegal Immigrants),5391.0,2008 ,All Illegal Immigrants
92,Southwest,Del Rio,TX,2008 (All Illegal Immigrants),20761.0,2008 ,All Illegal Immigrants
93,Southwest,El Centro,CA,2008 (All Illegal Immigrants),40961.0,2008 ,All Illegal Immigrants
94,Southwest,El Paso,"NM, TX",2008 (All Illegal Immigrants),30312.0,2008 ,All Illegal Immigrants
95,Southwest,Laredo,TX,2008 (All Illegal Immigrants),43658.0,2008 ,All Illegal Immigrants
96,Southwest,Rio Grande Valley,TX,2008 (All Illegal Immigrants),75473.0,2008 ,All Illegal Immigrants
97,Southwest,San Diego,CA,2008 (All Illegal Immigrants),162390.0,2008 ,All Illegal Immigrants
98,Southwest,Tucson,AZ,2008 (All Illegal Immigrants),317696.0,2008 ,All Illegal Immigrants
99,Southwest,Yuma,"CA, AZ",2008 (All Illegal Immigrants),8363.0,2008 ,All Illegal Immigrants
100,Coast,Miami,"FL, GA, SC, NC",2008 (Mexicans Only),1564.0,2008 ,Mexicans Only
101,Coast,New Orleans,"LA, AL, MS, FL",2008 (Mexicans Only),2923.0,2008 ,Mexicans Only
102,Coast,Ramey,PR,2008 (Mexicans Only),0.0,2008 ,Mexicans Only
103,North,Blaine,"WA, OR",2008 (Mexicans Only),643.0,2008 ,Mexicans Only
104,North,Buffalo,"NY, PA",2008 (Mexicans Only),1618.0,2008 ,Mexicans Only
105,North,Detroit,"OH, MI, IN, IL",2008 (Mexicans Only),664.0,2008 ,Mexicans Only
106,North,Grand Forks,"WI, MN, ND",2008 (Mexicans Only),361.0,2008 ,Mexicans Only
107,North,Havre,MT,2008 (Mexicans Only),379.0,2008 ,Mexicans Only
108,North,Houlton,ME,2008 (Mexicans Only),12.0,2008 ,Mexicans Only
109,North,Spokane,"MT, ID, WA",2008 (Mexicans Only),296.0,2008 ,Mexicans Only
110,North,Swanton,"NH, VT, NY",2008 (Mexicans Only),271.0,2008 ,Mexicans Only
111,Southwest,Big Bend,TX,2008 (Mexicans Only),4756.0,2008 ,Mexicans Only
112,Southwest,Del Rio,TX,2008 (Mexicans Only),14916.0,2008 ,Mexicans Only
113,Southwest,El Centro,CA,2008 (Mexicans Only),40159.0,2008 ,Mexicans Only
114,Southwest,El Paso,"NM, TX",2008 (Mexicans Only),29137.0,2008 ,Mexicans Only
115,Southwest,Laredo,TX,2008 (Mexicans Only),34403.0,2008 ,Mexicans Only
116,Southwest,Rio Grande Valley,TX,2008 (Mexicans Only),55401.0,2008 ,Mexicans Only
117,Southwest,San Diego,CA,2008 (Mexicans Only),160818.0,2008 ,Mexicans Only
118,Southwest,Tucson,AZ,2008 (Mexicans Only),305429.0,2008 ,Mexicans Only
119,Southwest,Yuma,"CA, AZ",2008 (Mexicans Only),8016.0,2008 ,Mexicans Only
120,Coast,Miami,"FL, GA, SC, NC",2009 (All Illegal Immigrants),4425.0,2009 ,All Illegal Immigrants
121,Coast,New Orleans,"LA, AL, MS, FL",2009 (All Illegal Immigrants),3527.0,2009 ,All Illegal Immigrants
122,Coast,Ramey,PR,2009 (All Illegal Immigrants),418.0,2009 ,All Illegal Immigrants
123,North,Blaine,"WA, OR",2009 (All Illegal Immigrants),843.0,2009 ,All Illegal Immigrants
124,North,Buffalo,"NY, PA",2009 (All Illegal Immigrants),2672.0,2009 ,All Illegal Immigrants
125,North,Detroit,"OH, MI, IN, IL",2009 (All Illegal Immigrants),1157.0,2009 ,All Illegal Immigrants
126,North,Grand Forks,"WI, MN, ND",2009 (All Illegal Immigrants),472.0,2009 ,All Illegal Immigrants
127,North,Havre,MT,2009 (All Illegal Immigrants),283.0,2009 ,All Illegal Immigrants
128,North,Houlton,ME,2009 (All Illegal Immigrants),59.0,2009 ,All Illegal Immigrants
129,North,Spokane,"MT, ID, WA",2009 (All Illegal Immigrants),277.0,2009 ,All Illegal Immigrants
130,North,Swanton,"NH, VT, NY",2009 (All Illegal Immigrants),1043.0,2009 ,All Illegal Immigrants
131,Southwest,Big Bend,TX,2009 (All Illegal Immigrants),6360.0,2009 ,All Illegal Immigrants
132,Southwest,Del Rio,TX,2009 (All Illegal Immigrants),17082.0,2009 ,All Illegal Immigrants
133,Southwest,El Centro,CA,2009 (All Illegal Immigrants),33521.0,2009 ,All Illegal Immigrants
134,Southwest,El Paso,"NM, TX",2009 (All Illegal Immigrants),14999.0,2009 ,All Illegal Immigrants
135,Southwest,Laredo,TX,2009 (All Illegal Immigrants),40569.0,2009 ,All Illegal Immigrants
136,Southwest,Rio Grande Valley,TX,2009 (All Illegal Immigrants),60989.0,2009 ,All Illegal Immigrants
137,Southwest,San Diego,CA,2009 (All Illegal Immigrants),118721.0,2009 ,All Illegal Immigrants
138,Southwest,Tucson,AZ,2009 (All Illegal Immigrants),241673.0,2009 ,All Illegal Immigrants
139,Southwest,Yuma,"CA, AZ",2009 (All Illegal Immigrants),6951.0,2009 ,All Illegal Immigrants
140,Coast,Miami,"FL, GA, SC, NC",2009 (Mexicans Only),1857.0,2009 ,Mexicans Only
141,Coast,New Orleans,"LA, AL, MS, FL",2009 (Mexicans Only),2269.0,2009 ,Mexicans Only
142,Coast,Ramey,PR,2009 (Mexicans Only),2.0,2009 ,Mexicans Only
143,North,Blaine,"WA, OR",2009 (Mexicans Only),524.0,2009 ,Mexicans Only
144,North,Buffalo,"NY, PA",2009 (Mexicans Only),1314.0,2009 ,Mexicans Only
145,North,Detroit,"OH, MI, IN, IL",2009 (Mexicans Only),881.0,2009 ,Mexicans Only
146,North,Grand Forks,"WI, MN, ND",2009 (Mexicans Only),311.0,2009 ,Mexicans Only
147,North,Havre,MT,2009 (Mexicans Only),208.0,2009 ,Mexicans Only
148,North,Houlton,ME,2009 (Mexicans Only),10.0,2009 ,Mexicans Only
149,North,Spokane,"MT, ID, WA",2009 (Mexicans Only),260.0,2009 ,Mexicans Only
150,North,Swanton,"NH, VT, NY",2009 (Mexicans Only),168.0,2009 ,Mexicans Only
151,Southwest,Big Bend,TX,2009 (Mexicans Only),5573.0,2009 ,Mexicans Only
152,Southwest,Del Rio,TX,2009 (Mexicans Only),12820.0,2009 ,Mexicans Only
153,Southwest,El Centro,CA,2009 (Mexicans Only),32602.0,2009 ,Mexicans Only
154,Southwest,El Paso,"NM, TX",2009 (Mexicans Only),13887.0,2009 ,Mexicans Only
155,Southwest,Laredo,TX,2009 (Mexicans Only),31831.0,2009 ,Mexicans Only
156,Southwest,Rio Grande Valley,TX,2009 (Mexicans Only),45051.0,2009 ,Mexicans Only
157,Southwest,San Diego,CA,2009 (Mexicans Only),117227.0,2009 ,Mexicans Only
158,Southwest,Tucson,AZ,2009 (Mexicans Only),230045.0,2009 ,Mexicans Only
159,Southwest,Yuma,"CA, AZ",2009 (Mexicans Only),6546.0,2009 ,Mexicans Only
160,Coast,Miami,"FL, GA, SC, NC",2010 (All Illegal Immigrants),4651.0,2010 ,All Illegal Immigrants
161,Coast,New Orleans,"LA, AL, MS, FL",2010 (All Illegal Immigrants),3171.0,2010 ,All Illegal Immigrants
162,Coast,Ramey,PR,2010 (All Illegal Immigrants),398.0,2010 ,All Illegal Immigrants
163,North,Blaine,"WA, OR",2010 (All Illegal Immigrants),673.0,2010 ,All Illegal Immigrants
164,North,Buffalo,"NY, PA",2010 (All Illegal Immigrants),2422.0,2010 ,All Illegal Immigrants
165,North,Detroit,"OH, MI, IN, IL",2010 (All Illegal Immigrants),1669.0,2010 ,All Illegal Immigrants
166,North,Grand Forks,"WI, MN, ND",2010 (All Illegal Immigrants),543.0,2010 ,All Illegal Immigrants
167,North,Havre,MT,2010 (All Illegal Immigrants),290.0,2010 ,All Illegal Immigrants
168,North,Houlton,ME,2010 (All Illegal Immigrants),56.0,2010 ,All Illegal Immigrants
169,North,Spokane,"MT, ID, WA",2010 (All Illegal Immigrants),356.0,2010 ,All Illegal Immigrants
170,North,Swanton,"NH, VT, NY",2010 (All Illegal Immigrants),1422.0,2010 ,All Illegal Immigrants
171,Southwest,Big Bend,TX,2010 (All Illegal Immigrants),5288.0,2010 ,All Illegal Immigrants
172,Southwest,Del Rio,TX,2010 (All Illegal Immigrants),14694.0,2010 ,All Illegal Immigrants
173,Southwest,El Centro,CA,2010 (All Illegal Immigrants),32562.0,2010 ,All Illegal Immigrants
174,Southwest,El Paso,"NM, TX",2010 (All Illegal Immigrants),12251.0,2010 ,All Illegal Immigrants
175,Southwest,Laredo,TX,2010 (All Illegal Immigrants),35287.0,2010 ,All Illegal Immigrants
176,Southwest,Rio Grande Valley,TX,2010 (All Illegal Immigrants),59766.0,2010 ,All Illegal Immigrants
177,Southwest,San Diego,CA,2010 (All Illegal Immigrants),68565.0,2010 ,All Illegal Immigrants
178,Southwest,Tucson,AZ,2010 (All Illegal Immigrants),212202.0,2010 ,All Illegal Immigrants
179,Southwest,Yuma,"CA, AZ",2010 (All Illegal Immigrants),7116.0,2010 ,All Illegal Immigrants
180,Coast,Miami,"FL, GA, SC, NC",2010 (Mexicans Only),1837.0,2010 ,Mexicans Only
181,Coast,New Orleans,"LA, AL, MS, FL",2010 (Mexicans Only),1941.0,2010 ,Mexicans Only
182,Coast,Ramey,PR,2010 (Mexicans Only),2.0,2010 ,Mexicans Only
183,North,Blaine,"WA, OR",2010 (Mexicans Only),376.0,2010 ,Mexicans Only
184,North,Buffalo,"NY, PA",2010 (Mexicans Only),1143.0,2010 ,Mexicans Only
185,North,Detroit,"OH, MI, IN, IL",2010 (Mexicans Only),1196.0,2010 ,Mexicans Only
186,North,Grand Forks,"WI, MN, ND",2010 (Mexicans Only),388.0,2010 ,Mexicans Only
187,North,Havre,MT,2010 (Mexicans Only),184.0,2010 ,Mexicans Only
188,North,Houlton,ME,2010 (Mexicans Only),6.0,2010 ,Mexicans Only
189,North,Spokane,"MT, ID, WA",2010 (Mexicans Only),316.0,2010 ,Mexicans Only
190,North,Swanton,"NH, VT, NY",2010 (Mexicans Only),157.0,2010 ,Mexicans Only
191,Southwest,Big Bend,TX,2010 (Mexicans Only),4754.0,2010 ,Mexicans Only
192,Southwest,Del Rio,TX,2010 (Mexicans Only),10593.0,2010 ,Mexicans Only
193,Southwest,El Centro,CA,2010 (Mexicans Only),31704.0,2010 ,Mexicans Only
194,Southwest,El Paso,"NM, TX",2010 (Mexicans Only),11194.0,2010 ,Mexicans Only
195,Southwest,Laredo,TX,2010 (Mexicans Only),27957.0,2010 ,Mexicans Only
196,Southwest,Rio Grande Valley,TX,2010 (Mexicans Only),40732.0,2010 ,Mexicans Only
197,Southwest,San Diego,CA,2010 (Mexicans Only),67259.0,2010 ,Mexicans Only
198,Southwest,Tucson,AZ,2010 (Mexicans Only),195921.0,2010 ,Mexicans Only
199,Southwest,Yuma,"CA, AZ",2010 (Mexicans Only),6705.0,2010 ,Mexicans Only
200,Coast,Miami,"FL, GA, SC, NC",2011 (All Illegal Immigrants),4401.0,2011 ,All Illegal Immigrants
201,Coast,New Orleans,"LA, AL, MS, FL",2011 (All Illegal Immigrants),1509.0,2011 ,All Illegal Immigrants
202,Coast,Ramey,PR,2011 (All Illegal Immigrants),642.0,2011 ,All Illegal Immigrants
203,North,Blaine,"WA, OR",2011 (All Illegal Immigrants),591.0,2011 ,All Illegal Immigrants
204,North,Buffalo,"NY, PA",2011 (All Illegal Immigrants),2114.0,2011 ,All Illegal Immigrants
205,North,Detroit,"OH, MI, IN, IL",2011 (All Illegal Immigrants),1531.0,2011 ,All Illegal Immigrants
206,North,Grand Forks,"WI, MN, ND",2011 (All Illegal Immigrants),468.0,2011 ,All Illegal Immigrants
207,North,Havre,MT,2011 (All Illegal Immigrants),270.0,2011 ,All Illegal Immigrants
208,North,Houlton,ME,2011 (All Illegal Immigrants),41.0,2011 ,All Illegal Immigrants
209,North,Spokane,"MT, ID, WA",2011 (All Illegal Immigrants),293.0,2011 ,All Illegal Immigrants
210,North,Swanton,"NH, VT, NY",2011 (All Illegal Immigrants),815.0,2011 ,All Illegal Immigrants
211,Southwest,Big Bend,TX,2011 (All Illegal Immigrants),4036.0,2011 ,All Illegal Immigrants
212,Southwest,Del Rio,TX,2011 (All Illegal Immigrants),16144.0,2011 ,All Illegal Immigrants
213,Southwest,El Centro,CA,2011 (All Illegal Immigrants),30191.0,2011 ,All Illegal Immigrants
214,Southwest,El Paso,"NM, TX",2011 (All Illegal Immigrants),10345.0,2011 ,All Illegal Immigrants
215,Southwest,Laredo,TX,2011 (All Illegal Immigrants),36053.0,2011 ,All Illegal Immigrants
216,Southwest,Rio Grande Valley,TX,2011 (All Illegal Immigrants),59243.0,2011 ,All Illegal Immigrants
